experiment,model_label,qid,pid_i,pid_j,method_a,method_b,spearman_full,n_aligned,top1_overlap,top3_overlap,top5_overlap,top10_overlap,top20_overlap
cross_encoder,Cross-encoder,1001108,7870036,302808,pairwise_ig,pointwise_ig,1.0,179,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1001108,7870036,302808,pairwise_ig,loo_pairwise,0.2985751051409202,179,0.0,0.0,0.0,0.1,0.3
cross_encoder,Cross-encoder,1001108,7870036,302808,pairwise_ig,loo_pointwise,0.2985751051409202,179,0.0,0.0,0.0,0.1,0.3
cross_encoder,Cross-encoder,1001108,7870036,302808,pointwise_ig,loo_pairwise,0.2985751051409202,179,0.0,0.0,0.0,0.1,0.3
cross_encoder,Cross-encoder,1001108,7870036,302808,pointwise_ig,loo_pointwise,0.2985751051409202,179,0.0,0.0,0.0,0.1,0.3
cross_encoder,Cross-encoder,1001108,7870036,302808,loo_pairwise,loo_pointwise,1.0,179,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1009183,7249212,6234872,pairwise_ig,pointwise_ig,1.0,146,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1009183,7249212,6234872,pairwise_ig,loo_pairwise,0.11271051642196794,146,0.0,0.3333333333333333,0.4,0.3,0.35
cross_encoder,Cross-encoder,1009183,7249212,6234872,pairwise_ig,loo_pointwise,0.11271051642196794,146,0.0,0.3333333333333333,0.4,0.3,0.35
cross_encoder,Cross-encoder,1009183,7249212,6234872,pointwise_ig,loo_pairwise,0.11271051642196794,146,0.0,0.3333333333333333,0.4,0.3,0.35
cross_encoder,Cross-encoder,1009183,7249212,6234872,pointwise_ig,loo_pointwise,0.11271051642196794,146,0.0,0.3333333333333333,0.4,0.3,0.35
cross_encoder,Cross-encoder,1009183,7249212,6234872,loo_pairwise,loo_pointwise,1.0,146,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1009742,7248275,1693626,pairwise_ig,pointwise_ig,1.0,113,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1009742,7248275,1693626,pairwise_ig,loo_pairwise,0.3365410206933263,113,0.0,0.3333333333333333,0.6,0.4,0.25
cross_encoder,Cross-encoder,1009742,7248275,1693626,pairwise_ig,loo_pointwise,0.3365410206933263,113,0.0,0.3333333333333333,0.6,0.4,0.25
cross_encoder,Cross-encoder,1009742,7248275,1693626,pointwise_ig,loo_pairwise,0.3365410206933263,113,0.0,0.3333333333333333,0.6,0.4,0.25
cross_encoder,Cross-encoder,1009742,7248275,1693626,pointwise_ig,loo_pointwise,0.3365410206933263,113,0.0,0.3333333333333333,0.6,0.4,0.25
cross_encoder,Cross-encoder,1009742,7248275,1693626,loo_pairwise,loo_pointwise,1.0,113,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1010700,7908507,1929965,pairwise_ig,pointwise_ig,1.0,111,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1010700,7908507,1929965,pairwise_ig,loo_pairwise,0.1247104247104247,111,1.0,1.0,0.6,0.5,0.45
cross_encoder,Cross-encoder,1010700,7908507,1929965,pairwise_ig,loo_pointwise,0.1247104247104247,111,1.0,1.0,0.6,0.5,0.45
cross_encoder,Cross-encoder,1010700,7908507,1929965,pointwise_ig,loo_pairwise,0.1247104247104247,111,1.0,1.0,0.6,0.5,0.45
cross_encoder,Cross-encoder,1010700,7908507,1929965,pointwise_ig,loo_pointwise,0.1247104247104247,111,1.0,1.0,0.6,0.5,0.45
cross_encoder,Cross-encoder,1010700,7908507,1929965,loo_pairwise,loo_pointwise,1.0,111,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1012865,7242969,4597623,pairwise_ig,pointwise_ig,1.0,112,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1012865,7242969,4597623,pairwise_ig,loo_pairwise,0.40391908975979773,112,0.0,0.3333333333333333,0.4,0.5,0.65
cross_encoder,Cross-encoder,1012865,7242969,4597623,pairwise_ig,loo_pointwise,0.40391908975979773,112,0.0,0.3333333333333333,0.4,0.5,0.65
cross_encoder,Cross-encoder,1012865,7242969,4597623,pointwise_ig,loo_pairwise,0.40391908975979773,112,0.0,0.3333333333333333,0.4,0.5,0.65
cross_encoder,Cross-encoder,1012865,7242969,4597623,pointwise_ig,loo_pointwise,0.40391908975979773,112,0.0,0.3333333333333333,0.4,0.5,0.65
cross_encoder,Cross-encoder,1012865,7242969,4597623,loo_pairwise,loo_pointwise,1.0,112,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,1020244,7233356,7263764,pairwise_ig,pointwise_ig,0.9999999999999999,78,1.0,1.0,1.0,1.0,1.0
