experiment,model_label,method_a,method_b,n_pairs,mean_spearman_full,mean_aligned,mean_top1_overlap,mean_top3_overlap,mean_top5_overlap,mean_top10_overlap,mean_top20_overlap
cross_encoder,Cross-encoder,loo_pairwise,loo_pointwise,150,1.0,135.27333333333334,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,loo_pairwise,random,150,,135.27333333333334,0.007966666666666667,0.02364444444444444,0.04038666666666667,0.08040333333333334,0.16040666666666667
cross_encoder,Cross-encoder,loo_pointwise,random,150,,135.27333333333334,0.008066666666666666,0.024666666666666663,0.03999333333333334,0.07968666666666667,0.16121
cross_encoder,Cross-encoder,pairwise_ig,loo_pairwise,150,0.3546576507704784,135.26666666666668,0.4,0.45777777777777773,0.4546666666666666,0.44600000000000006,0.45399999999999996
cross_encoder,Cross-encoder,pairwise_ig,loo_pointwise,150,0.3546576507704784,135.26666666666668,0.4,0.45777777777777773,0.4546666666666666,0.44600000000000006,0.45399999999999996
cross_encoder,Cross-encoder,pairwise_ig,pointwise_ig,150,1.0,135.26666666666668,1.0,1.0,1.0,1.0,1.0
cross_encoder,Cross-encoder,pairwise_ig,random,150,,135.26666666666668,0.007433333333333334,0.02403333333333333,0.040279999999999996,0.08026,0.16112166666666664
cross_encoder,Cross-encoder,pointwise_ig,loo_pairwise,150,0.3546576507704784,135.26666666666668,0.4,0.45777777777777773,0.4546666666666666,0.44600000000000006,0.45399999999999996
cross_encoder,Cross-encoder,pointwise_ig,loo_pointwise,150,0.3546576507704784,135.26666666666668,0.4,0.45777777777777773,0.4546666666666666,0.44600000000000006,0.45399999999999996
cross_encoder,Cross-encoder,pointwise_ig,random,150,,135.26666666666668,0.008066666666666666,0.0237,0.04080666666666667,0.08035333333333333,0.16185166666666664
