experiment,model_label,method,condition,curve_name,check,metric,higher_is_better,min_k,max_k,n_points,auc,normalized_auc
cross_encoder,Cross-encoder,loo_pairwise,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,200.60788692439598,10.558309838126105
cross_encoder,Cross-encoder,loo_pointwise,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,200.60788692439598,10.558309838126105
cross_encoder,Cross-encoder,pairwise_ig,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,168.68230986567835,8.878016308719912
cross_encoder,Cross-encoder,pointwise_ig,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,168.68230986567835,8.878016308719912
cross_encoder,Cross-encoder,loo_pairwise,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,7.523333333333333,0.39596491228070174
cross_encoder,Cross-encoder,loo_pointwise,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,7.523333333333333,0.39596491228070174
cross_encoder,Cross-encoder,pairwise_ig,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,6.493333333333334,0.3417543859649123
cross_encoder,Cross-encoder,pointwise_ig,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,6.493333333333334,0.3417543859649123
cross_encoder,Cross-encoder,loo_pairwise,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,139.79653796061874,7.357712524243091
cross_encoder,Cross-encoder,loo_pointwise,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,139.79653796061874,7.357712524243091
cross_encoder,Cross-encoder,pairwise_ig,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,159.97147898313898,8.419551525428368
cross_encoder,Cross-encoder,pointwise_ig,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,159.97147898313898,8.419551525428368
cross_encoder,Cross-encoder,loo_pairwise,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,18.07,0.9510526315789474
cross_encoder,Cross-encoder,loo_pointwise,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,18.07,0.9510526315789474
cross_encoder,Cross-encoder,pairwise_ig,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,17.303333333333335,0.910701754385965
cross_encoder,Cross-encoder,pointwise_ig,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,17.303333333333335,0.910701754385965
cross_encoder,Cross-encoder,loo_pairwise,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,50.17809758797909,2.6409525046304783
cross_encoder,Cross-encoder,loo_pointwise,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,50.41974418904385,2.6536707467917813
cross_encoder,Cross-encoder,pairwise_ig,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,34.24256159480662,1.8022400839371904
cross_encoder,Cross-encoder,pointwise_ig,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,34.92323724448681,1.838065118130885
cross_encoder,Cross-encoder,loo_pairwise,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,1.456999999999999,0.07668421052631573
cross_encoder,Cross-encoder,loo_pointwise,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,1.4146666666666663,0.07445614035087718
cross_encoder,Cross-encoder,pairwise_ig,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,0.9809999999999999,0.05163157894736842
cross_encoder,Cross-encoder,pointwise_ig,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,0.9786666666666655,0.0515087719298245
cross_encoder,Cross-encoder,loo_pairwise,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,219.11176531692593,11.532198174575049
cross_encoder,Cross-encoder,loo_pointwise,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,218.41778601816046,11.495672948324234
cross_encoder,Cross-encoder,pairwise_ig,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,222.82542075214783,11.727653723797255
cross_encoder,Cross-encoder,pointwise_ig,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,221.98737458975614,11.683546031039796
cross_encoder,Cross-encoder,loo_pairwise,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,12.174666666666669,0.6407719298245615
cross_encoder,Cross-encoder,loo_pointwise,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,12.186,0.6413684210526316
cross_encoder,Cross-encoder,pairwise_ig,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,11.737,0.6177368421052631
cross_encoder,Cross-encoder,pointwise_ig,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,11.819333333333333,0.6220701754385964
