experiment,model_label,method,condition,check,qid,pid_i,pid_j,k,actual_k,trial,g,g_perturbed,delta_g,abs_g_gap,preference_flipped,sign_preserved
cross_encoder,Cross-encoder,pairwise_ig,explanation,deletion,1001108,7870036,302808,1,1,0,15.007686138153076,15.24158000946045,-0.23389387130737305,0.23389387130737305,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,0,15.007686138153076,14.936009883880615,0.07167625427246094,0.07167625427246094,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,1,15.007686138153076,15.129418849945068,-0.12173271179199219,0.12173271179199219,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,2,15.007686138153076,15.025765419006348,-0.018079280853271484,0.018079280853271484,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,3,15.007686138153076,15.179450511932373,-0.17176437377929688,0.17176437377929688,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,4,15.007686138153076,15.039466381072998,-0.031780242919921875,0.031780242919921875,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,5,15.007686138153076,14.991108417510986,0.016577720642089844,0.016577720642089844,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,6,15.007686138153076,15.100911617279053,-0.09322547912597656,0.09322547912597656,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,7,15.007686138153076,15.025765419006348,-0.018079280853271484,0.018079280853271484,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,8,15.007686138153076,14.72325611114502,0.28443002700805664,0.28443002700805664,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,1,1,9,15.007686138153076,15.042850017547607,-0.03516387939453125,0.03516387939453125,0,1
cross_encoder,Cross-encoder,pairwise_ig,explanation,preservation,1001108,7870036,302808,1,1,0,15.007686138153076,-0.42955970764160156,15.437245845794678,15.437245845794678,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,0,15.007686138153076,0.0013532638549804688,15.006332874298096,15.006332874298096,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,1,15.007686138153076,-0.011941909790039062,15.019628047943115,15.019628047943115,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,2,15.007686138153076,0.00543212890625,15.002254009246826,15.002254009246826,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,3,15.007686138153076,0.0007877349853515625,15.006898403167725,15.006898403167725,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,4,15.007686138153076,0.0039691925048828125,15.003716945648193,15.003716945648193,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,5,15.007686138153076,0.0040988922119140625,15.003587245941162,15.003587245941162,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,6,15.007686138153076,0.009410858154296875,14.99827527999878,14.99827527999878,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,7,15.007686138153076,0.012523651123046875,14.99516248703003,14.99516248703003,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,8,15.007686138153076,0.007946014404296875,14.99974012374878,14.99974012374878,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,1,1,9,15.007686138153076,0.005358695983886719,15.00232744216919,15.00232744216919,0,1
cross_encoder,Cross-encoder,pairwise_ig,explanation,deletion,1001108,7870036,302808,3,3,0,15.007686138153076,14.97679615020752,0.03088998794555664,0.03088998794555664,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,3,3,0,15.007686138153076,14.734615802764893,0.2730703353881836,0.2730703353881836,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,3,3,1,15.007686138153076,14.911420822143555,0.09626531600952148,0.09626531600952148,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,3,3,2,15.007686138153076,14.842111110687256,0.1655750274658203,0.1655750274658203,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,3,3,3,15.007686138153076,14.41059923171997,0.5970869064331055,0.5970869064331055,0,1
