experiment,model_label,qid,pid_i,pid_j,method_a,method_b,spearman_full,n_aligned,top1_overlap,top3_overlap,top5_overlap,top10_overlap,top20_overlap
duot5,DuoT5,1001108,7870036,7042329,pairwise_ig,pointwise_ig,-0.21815487090276506,128,0.0,0.0,0.0,0.1,0.15
duot5,DuoT5,1001108,7870036,7042329,pairwise_ig,loo_pairwise,0.12627037172678995,128,0.0,0.3333333333333333,0.2,0.2,0.25
duot5,DuoT5,1001108,7870036,7042329,pairwise_ig,loo_pointwise,0.05155305804797656,128,0.0,0.0,0.2,0.2,0.3
duot5,DuoT5,1001108,7870036,7042329,pointwise_ig,loo_pairwise,-0.16272202893242996,128,0.0,0.0,0.0,0.1,0.05
duot5,DuoT5,1001108,7870036,7042329,pointwise_ig,loo_pointwise,0.07789324299578831,128,0.0,0.3333333333333333,0.2,0.4,0.4
duot5,DuoT5,1001108,7870036,7042329,loo_pairwise,loo_pointwise,-0.07759567844717084,128,0.0,0.0,0.4,0.2,0.25
duot5,DuoT5,1009183,7249212,2911375,pairwise_ig,pointwise_ig,0.3116883116883117,76,0.0,0.3333333333333333,0.6,0.6,0.55
duot5,DuoT5,1009183,7249212,2911375,pairwise_ig,loo_pairwise,0.10846206425153794,76,0.0,0.3333333333333333,0.2,0.4,0.4
duot5,DuoT5,1009183,7249212,2911375,pairwise_ig,loo_pointwise,0.1590704032809296,76,0.0,0.3333333333333333,0.4,0.5,0.6
duot5,DuoT5,1009183,7249212,2911375,pointwise_ig,loo_pairwise,-0.04546821599453179,76,0.0,0.0,0.0,0.2,0.25
duot5,DuoT5,1009183,7249212,2911375,pointwise_ig,loo_pointwise,0.112946001367054,76,1.0,0.3333333333333333,0.4,0.7,0.5
duot5,DuoT5,1009183,7249212,2911375,loo_pairwise,loo_pointwise,0.4545727956254272,76,0.0,0.3333333333333333,0.4,0.4,0.5
duot5,DuoT5,1009742,7248275,5018280,pairwise_ig,pointwise_ig,0.0969661496439372,135,0.0,0.0,0.2,0.4,0.35
duot5,DuoT5,1009742,7248275,5018280,pairwise_ig,loo_pairwise,0.3028728904497123,135,0.0,0.0,0.0,0.2,0.25
duot5,DuoT5,1009742,7248275,5018280,pairwise_ig,loo_pointwise,-0.2704223978148474,135,0.0,0.0,0.0,0.1,0.1
duot5,DuoT5,1009742,7248275,5018280,pointwise_ig,loo_pairwise,0.11073066042337334,135,0.0,0.0,0.0,0.1,0.05
duot5,DuoT5,1009742,7248275,5018280,pointwise_ig,loo_pointwise,0.1155106818846942,135,0.0,0.0,0.0,0.0,0.1
duot5,DuoT5,1009742,7248275,5018280,loo_pairwise,loo_pointwise,0.034513705979904406,135,0.0,0.3333333333333333,0.4,0.4,0.35
duot5,DuoT5,1010700,7908507,3541134,pairwise_ig,pointwise_ig,-0.043787303309820946,96,0.0,0.3333333333333333,0.2,0.3,0.2
duot5,DuoT5,1010700,7908507,3541134,pairwise_ig,loo_pairwise,0.31391752577319587,96,0.0,0.3333333333333333,0.4,0.4,0.5
duot5,DuoT5,1010700,7908507,3541134,pairwise_ig,loo_pointwise,0.20286218122626154,96,0.0,0.3333333333333333,0.4,0.3,0.5
duot5,DuoT5,1010700,7908507,3541134,pointwise_ig,loo_pairwise,0.08117200217037439,96,0.0,0.0,0.2,0.4,0.35
duot5,DuoT5,1010700,7908507,3541134,pointwise_ig,loo_pointwise,0.296703743895822,96,0.0,0.0,0.4,0.3,0.55
duot5,DuoT5,1010700,7908507,3541134,loo_pairwise,loo_pointwise,0.44120998372219206,96,1.0,0.6666666666666666,0.8,0.6,0.5
duot5,DuoT5,1012865,7242969,5615198,pairwise_ig,pointwise_ig,0.12096349596349597,111,0.0,0.6666666666666666,0.4,0.4,0.5
duot5,DuoT5,1012865,7242969,5615198,pairwise_ig,loo_pairwise,0.028492453492453492,111,1.0,0.3333333333333333,0.2,0.3,0.35
duot5,DuoT5,1012865,7242969,5615198,pairwise_ig,loo_pointwise,0.09799052299052298,111,1.0,0.3333333333333333,0.2,0.3,0.4
duot5,DuoT5,1012865,7242969,5615198,pointwise_ig,loo_pairwise,0.18454720954720952,111,0.0,0.3333333333333333,0.2,0.3,0.4
duot5,DuoT5,1012865,7242969,5615198,pointwise_ig,loo_pointwise,0.12492979992979991,111,0.0,0.3333333333333333,0.2,0.2,0.3
duot5,DuoT5,1012865,7242969,5615198,loo_pairwise,loo_pointwise,0.426026676026676,111,1.0,0.3333333333333333,0.4,0.3,0.55
duot5,DuoT5,1020244,7233356,5214901,pairwise_ig,pointwise_ig,0.4823412929528247,101,0.0,0.6666666666666666,0.4,0.5,0.65
duot5,DuoT5,1020244,7233356,5214901,pairwise_ig,loo_pairwise,0.3608503203261503,101,0.0,0.0,0.2,0.4,0.45
duot5,DuoT5,1020244,7233356,5214901,pairwise_ig,loo_pointwise,0.1461852067559697,101,0.0,0.0,0.0,0.3,0.25
duot5,DuoT5,1020244,7233356,5214901,pointwise_ig,loo_pairwise,0.18807221898660453,101,0.0,0.0,0.0,0.4,0.4
