experiment,model_label,method_a,method_b,n_pairs,mean_spearman_full,mean_aligned,mean_top1_overlap,mean_top3_overlap,mean_top5_overlap,mean_top10_overlap,mean_top20_overlap
duot5,DuoT5,loo_pairwise,loo_pointwise,150,0.3058832702271434,109.28666666666666,0.34,0.3333333333333333,0.3653333333333333,0.3973333333333333,0.44933333333333336
duot5,DuoT5,loo_pairwise,random,150,,109.28666666666666,0.009800000000000001,0.02926666666666666,0.050453333333333336,0.09922,0.19904999999999998
duot5,DuoT5,loo_pointwise,random,150,,109.28666666666666,0.010300000000000002,0.02844444444444444,0.04998,0.09903666666666666,0.19772166666666666
duot5,DuoT5,pairwise_ig,loo_pairwise,150,0.1877217002719368,109.28666666666666,0.2733333333333333,0.2955555555555555,0.2853333333333333,0.3326666666666666,0.38133333333333336
duot5,DuoT5,pairwise_ig,loo_pointwise,150,0.050947092385808475,109.28666666666666,0.12666666666666668,0.18666666666666668,0.2133333333333333,0.256,0.319
duot5,DuoT5,pairwise_ig,pointwise_ig,150,0.01909293622812523,109.28666666666666,0.14,0.17777777777777778,0.22266666666666665,0.27,0.3106666666666667
duot5,DuoT5,pairwise_ig,random,150,,109.28666666666666,0.009933333333333334,0.029755555555555552,0.04990666666666666,0.09841333333333334,0.19926833333333335
duot5,DuoT5,pointwise_ig,loo_pairwise,150,-0.02281945223116202,109.28666666666666,0.05333333333333334,0.08666666666666666,0.11066666666666668,0.1706666666666667,0.2423333333333333
duot5,DuoT5,pointwise_ig,loo_pointwise,150,0.01362636940723659,109.28666666666666,0.09333333333333334,0.1288888888888889,0.184,0.24,0.2896666666666667
duot5,DuoT5,pointwise_ig,random,150,,109.28666666666666,0.009499999999999998,0.0297111111111111,0.049446666666666673,0.09887333333333333,0.19841333333333333
