experiment,model_label,method,condition,curve_name,check,metric,higher_is_better,min_k,max_k,n_points,auc,normalized_auc
duot5,DuoT5,loo_pairwise,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,179.5050811988612,9.447635852571642
duot5,DuoT5,loo_pointwise,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,63.529099156061804,3.3436367976874632
duot5,DuoT5,pairwise_ig,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,80.08205039123693,4.214844757433522
duot5,DuoT5,pointwise_ig,explanation,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,0.3055475295583401,0.01608144892412316
duot5,DuoT5,loo_pairwise,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,7.62,0.4010526315789474
duot5,DuoT5,loo_pointwise,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,7.153333333333333,0.37649122807017543
duot5,DuoT5,pairwise_ig,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,3.6033333333333326,0.1896491228070175
duot5,DuoT5,pointwise_ig,explanation,deletion_flip_rate,deletion,flip_rate,True,1,20,5,2.6566666666666663,0.13982456140350874
duot5,DuoT5,loo_pairwise,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,118.57386335392793,6.240729650206734
duot5,DuoT5,loo_pointwise,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,127.40259847482045,6.705399919727392
duot5,DuoT5,pairwise_ig,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,186.43576657772064,9.812408767248455
duot5,DuoT5,pointwise_ig,explanation,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,150.51742188056312,7.921969572661217
duot5,DuoT5,loo_pairwise,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,15.296666666666667,0.8050877192982456
duot5,DuoT5,loo_pointwise,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,14.15,0.7447368421052631
duot5,DuoT5,pairwise_ig,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,10.870000000000001,0.5721052631578948
duot5,DuoT5,pointwise_ig,explanation,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,9.61,0.5057894736842105
duot5,DuoT5,loo_pairwise,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,43.897669400120776,2.3104036526379357
duot5,DuoT5,loo_pointwise,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,32.6452154100736,1.7181692321091366
duot5,DuoT5,pairwise_ig,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,9.734013236681621,0.5123164861411379
duot5,DuoT5,pointwise_ig,random,deletion_delta_g,deletion,mean_delta_g,True,1,20,5,2.3039054086108988,0.12125817940057362
duot5,DuoT5,loo_pairwise,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,1.6573333333333329,0.08722807017543857
duot5,DuoT5,loo_pointwise,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,2.4306666666666654,0.12792982456140345
duot5,DuoT5,pairwise_ig,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,0.5243333333333322,0.027596491228070116
duot5,DuoT5,pointwise_ig,random,deletion_flip_rate,deletion,flip_rate,True,1,20,5,1.1536666666666662,0.060719298245614006
duot5,DuoT5,loo_pairwise,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,267.0976119301915,14.057769048957447
duot5,DuoT5,loo_pointwise,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,113.22546060534319,5.959234768702273
duot5,DuoT5,pairwise_ig,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,315.1518654539982,16.58694028705254
duot5,DuoT5,pointwise_ig,random,preservation_abs_gap,preservation,mean_abs_g_gap,False,1,20,5,119.59006621583302,6.2942140113596325
duot5,DuoT5,loo_pairwise,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,7.0779999999999985,0.3725263157894736
duot5,DuoT5,loo_pointwise,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,12.323666666666668,0.6486140350877193
duot5,DuoT5,pairwise_ig,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,4.310666666666666,0.22687719298245612
duot5,DuoT5,pointwise_ig,random,preservation_sign_preservation,preservation,sign_preservation_rate,True,1,20,5,10.426000000000002,0.5487368421052633
