experiment,model_label,method,condition,check,qid,pid_i,pid_j,k,actual_k,trial,g,g_perturbed,delta_g,abs_g_gap,preference_flipped,sign_preserved
duot5,DuoT5,pairwise_ig,explanation,deletion,1001108,7870036,7042329,1,1,0,5.418521881103516,3.1311516761779785,2.287370204925537,2.287370204925537,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,0,5.418521881103516,5.477774620056152,-0.05925273895263672,0.05925273895263672,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,1,5.418521881103516,5.389108657836914,0.029413223266601562,0.029413223266601562,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,2,5.418521881103516,5.423073768615723,-0.004551887512207031,0.004551887512207031,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,3,5.418521881103516,5.531856536865234,-0.11333465576171875,0.11333465576171875,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,4,5.418521881103516,5.582392692565918,-0.16387081146240234,0.16387081146240234,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,5,5.418521881103516,5.437528610229492,-0.019006729125976562,0.019006729125976562,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,6,5.418521881103516,5.581136703491211,-0.1626148223876953,0.1626148223876953,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,7,5.418521881103516,5.33651065826416,0.08201122283935547,0.08201122283935547,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,8,5.418521881103516,5.273287773132324,0.1452341079711914,0.1452341079711914,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1001108,7870036,7042329,1,1,9,5.418521881103516,4.690966606140137,0.7275552749633789,0.7275552749633789,0,1
duot5,DuoT5,pairwise_ig,explanation,preservation,1001108,7870036,7042329,1,1,0,5.418521881103516,-4.509347915649414,9.92786979675293,9.92786979675293,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1001108,7870036,7042329,1,1,0,5.418521881103516,-9.545858383178711,14.964380264282227,14.964380264282227,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1001108,7870036,7042329,1,1,1,5.418521881103516,-9.23572063446045,14.654242515563965,14.654242515563965,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1001108,7870036,7042329,1,1,2,5.418521881103516,-9.319948196411133,14.738470077514648,14.738470077514648,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1001108,7870036,7042329,1,1,3,5.418521881103516,-9.23572063446045,14.654242515563965,14.654242515563965,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1001108,7870036,7042329,1,1,4,5.418521881103516,-9.650017738342285,15.0685396194458,15.0685396194458,1,0
