experiment,model_label,method,condition,check,k,n_queries,mean_actual_k,mean_delta_g,delta_g_ci_low,delta_g_ci_high,mean_abs_g_gap,abs_g_gap_ci_low,abs_g_gap_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,sign_preservation_rate,sign_preservation_ci_low,sign_preservation_ci_high
duot5,DuoT5,loo_pairwise,explanation,deletion,1,150,1.0,3.38862938841184,2.6754927320231996,4.140486517682671,3.38862938841184,2.677856396317482,4.118046715791027,0.14,0.08666666666666667,0.2,0.86,0.8,0.9133333333333333
duot5,DuoT5,loo_pairwise,explanation,deletion,3,150,3.0,6.1092105358839035,5.115891714761655,7.141117672349016,6.1092105358839035,5.148024964774648,7.106432855665684,0.24,0.17333333333333334,0.31333333333333335,0.76,0.6933333333333334,0.8201666666666665
duot5,DuoT5,loo_pairwise,explanation,deletion,5,150,5.0,7.407785223325093,6.413879835049311,8.511582981054982,7.407785223325093,6.36804940066735,8.520799364780387,0.3,0.23333333333333334,0.37333333333333335,0.7,0.6266666666666667,0.7666666666666667
duot5,DuoT5,loo_pairwise,explanation,deletion,10,150,10.0,9.9275441172719,8.746694742729266,11.111544447625677,9.9275441172719,8.65927724796037,11.176010471137861,0.42,0.34,0.5,0.58,0.5066666666666667,0.66
duot5,DuoT5,loo_pairwise,explanation,deletion,20,150,20.0,12.702840315500895,11.43852335096399,13.973005457187691,12.702840315500895,11.481563279241323,13.94473940085868,0.56,0.48,0.6466666666666666,0.44,0.36,0.5133333333333333
duot5,DuoT5,loo_pairwise,random,deletion,1,150,1.0,0.1870625112851461,0.14626308302879332,0.23069996899565057,0.1870625112851461,0.14865601961016658,0.23572431473036612,0.008,0.0013333333333333335,0.01933333333333333,0.9920000000000001,0.9813333333333335,0.9986666666666667
duot5,DuoT5,loo_pairwise,random,deletion,3,150,3.0,0.5253008167942365,0.43524008695880567,0.6227907660206158,0.5253686192234358,0.43752655028055104,0.6212719060430923,0.02,0.008,0.03668333333333332,0.98,0.9620000000000001,0.9933333333333333
duot5,DuoT5,loo_pairwise,random,deletion,5,150,5.0,1.0315915831724802,0.8632775633533795,1.2095649947231015,1.0322462424437204,0.8549697984457015,1.2064956943174203,0.03933333333333333,0.01931666666666667,0.06333333333333334,0.9606666666666667,0.9386666666666668,0.98
duot5,DuoT5,loo_pairwise,random,deletion,10,150,10.0,2.024698427528143,1.7378047520272435,2.3221444237314164,2.024698427528143,1.758039565575371,2.3073838436146574,0.07133333333333333,0.044,0.10133333333333333,0.9286666666666668,0.8993333333333333,0.95535
duot5,DuoT5,loo_pairwise,random,deletion,20,150,20.0,4.7728393015364805,4.256396749738603,5.3551371480268735,4.7734192943076295,4.277557122523088,5.330630131251365,0.18733333333333335,0.14666666666666667,0.23669999999999997,0.8126666666666668,0.7713333333333333,0.856
duot5,DuoT5,loo_pointwise,explanation,deletion,1,150,1.0,2.4711793573697407,2.033574857354164,2.9297174187103905,2.4711793573697407,2.018321353693803,2.926699591318766,0.15333333333333332,0.1,0.21333333333333335,0.8466666666666667,0.78,0.9
duot5,DuoT5,loo_pointwise,explanation,deletion,3,150,3.0,3.0139577913284303,2.337697850505511,3.7324157826503117,3.632403270403544,3.004237778743108,4.310915661692619,0.26,0.19333333333333333,0.32666666666666666,0.74,0.6666666666666666,0.8068333333333332
duot5,DuoT5,loo_pointwise,explanation,deletion,5,150,5.0,2.9136867650349934,2.1465526114304865,3.706744867602984,4.077619190216065,3.504538064320882,4.673138504505157,0.31333333333333335,0.24,0.3933333333333333,0.6866666666666666,0.6066666666666667,0.7533333333333333
duot5,DuoT5,loo_pointwise,explanation,deletion,10,150,10.0,3.3028959131240843,2.4969933531681696,4.153397629062335,5.042205739021301,4.38441439084212,5.733354235450427,0.3933333333333333,0.32,0.48,0.6066666666666667,0.5266666666666666,0.6866666666666666
duot5,DuoT5,loo_pointwise,explanation,deletion,20,150,20.0,4.012076237996419,2.939458831469218,5.0625387112696965,5.901383762359619,5.141573788245519,6.5986826260884595,0.4866666666666667,0.4066666666666667,0.5666666666666667,0.5133333333333333,0.43333333333333335,0.5933333333333334
duot5,DuoT5,loo_pointwise,random,deletion,1,150,1.0,0.20779880015055338,0.1617329825083415,0.2608179432789485,0.20779880015055338,0.16361331060727438,0.25788258376916245,0.006666666666666668,0.0019833333333333348,0.012666666666666666,0.9933333333333333,0.9879999999999999,0.9986666666666667
duot5,DuoT5,loo_pointwise,random,deletion,3,150,3.0,0.5894995988210043,0.4925671419064204,0.6906076374053955,0.5923620929718019,0.4926984929283459,0.6996219163854916,0.019999999999999997,0.009333333333333332,0.034016666666666646,0.98,0.9659999999999999,0.9920000000000001
duot5,DuoT5,loo_pointwise,random,deletion,5,150,5.0,0.9110583041508992,0.7925036966681481,1.0525640954116982,0.9379773206710814,0.8023575191915034,1.0783518908838432,0.04733333333333333,0.026000000000000002,0.07133333333333333,0.9526666666666667,0.9280000000000002,0.9726666666666667
duot5,DuoT5,loo_pointwise,random,deletion,10,150,10.0,1.7484917302131653,1.5231018045425415,1.9988661865949633,1.8378077791531882,1.5937780129790304,2.1103582297007244,0.13133333333333333,0.09265,0.176,0.8686666666666666,0.82865,0.9073333333333334
